,cid,text,time,author,channel,votes,photo,heart
62,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuYrh598gN,Vera level,2 months ago,MMA productions,UC-e6U-ALbH8ATOCgpRk-23A,7,https://yt3.ggpht.com/ytc/AAUvwnhbTj38vcQY4-CrLTA-cM5_75CfN9Ua8eDSlzic8w=s176-c-k-c0x00ffffff-no-rj,False
63,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuYZnu52u5,❤️Vara Maari vara Maari🎉,2 months ago,Siva Guru,UC8aeyarc8qpQuVGt4dtdWLg,12,https://yt3.ggpht.com/ytc/AAUvwng43Un2SF79380HYvCibn0Yf7YWfCagTDm4y3NaZA=s176-c-k-c0x00ffffff-no-rj,False
64,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuYZ9kZEZd,Indian Bruce lee,2 months ago,Msr Mixz Media,UCnbU23FtGCNNzjM95z4IvYA,9,https://yt3.ggpht.com/ytc/AAUvwngKcr0Cj6_JAbAsaZat-BVk2r0K1lAjSgrb9Bf0lw=s176-c-k-c0x00ffffff-no-rj,False
65,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuXu-Qi38c,Madly waiting on April 9,2 months ago,vip mani,UCIydZsb6MIcLO4Et6GpkVAA,10,https://yt3.ggpht.com/ytc/AAUvwng6oj0SF8eiVGNYRWbJ3bhwiZFoaAvSrfQc1kJwZQ=s176-c-k-c0x00ffffff-no-rj,False
66,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuXrq9Il9Y,D love u,2 months ago,vip mani,UCIydZsb6MIcLO4Et6GpkVAA,11,https://yt3.ggpht.com/ytc/AAUvwng6oj0SF8eiVGNYRWbJ3bhwiZFoaAvSrfQc1kJwZQ=s176-c-k-c0x00ffffff-no-rj,False
67,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuXa99-VJz,சந்தோஷ் நாரயணன் சார் வாய்ஸ் வேரலெவெல்...,2 months ago,sakthi GV,UCmG5UNpqoXCoxjz9SLkqU7Q,13,https://yt3.ggpht.com/ytc/AAUvwng-jnKNDgQRu0XyDm1AXjtCqqrljvlST8GL_kU4=s176-c-k-c0x00ffffff-no-rj,False
68,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuX1pFBY_X,MASS SONG Anna :😘😘😘,2 months ago,꧁M.D. SUGUDEV .46._꧂,UCRQs3PonA1CUoPKcmVYRqtA,9,https://yt3.ggpht.com/ytc/AAUvwni-hIc6Rt-FaHhKsW9Rl0fh1MWibIkZsZ0P076G=s176-c-k-c0x00ffffff-no-rj,False
69,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuWpS2b_0X,SAnA வேற லெவல் 💥💥💥✌️👌🙏,2 months ago,prathap M,UCMv-RR2GGWiNTM5DWivGsEw,11,https://yt3.ggpht.com/ytc/AAUvwnikikwPnmm7S4JdwsnTakqRyxLIM7ZnlkRWCKTh=s176-c-k-c0x00ffffff-no-rj,False
70,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuW_QgGBcq,I like how the base note is somewhat western along with the deep voice rap. A marriage between folk n western. Different feel.,2 months ago,Yoga Chandriga,UCOmP5tkUAvqdb2FKct31XOg,10,https://yt3.ggpht.com/ytc/AAUvwnjBD2DdZFFhM2aC0dwUXHfCnWT9dxIuAMR_tdAi=s176-c-k-c0x00ffffff-no-rj,False
71,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuWUoyB9-Q,Song vera level IAM thalapathy fan movie ku IAM waiting,2 months ago,harish abi,UCZnizQlFda3ywD2sVsfYIbg,17,https://yt3.ggpht.com/ytc/AAUvwngU0BTGE_hcjJ17xIoTgzOdLW52V4968P7hbArEKw=s176-c-k-c0x00ffffff-no-rj,False
